Timestamp,Initials,Article,Volume,Issue,Page,Title and Subtitle,Artist/Photographer,Engraving Company,Type,Size,Orientation,Location on Page,Identity Groups pictured and named (or can be deduced),People pictured and named (or can be deduced),Groups/Organizations/Entities pictured and named (or can be deduced),Places pictured and named (or can be deduced),Activities pictured and named (or can be deduced),Flora and Fauna pictured and named (or can be deduced),Commodities pictured and named (or can be deduced),Technology/Transportation/Infrastructure/Built Environment pictured and named (or can be deduced),Natural Environment/Climate pictured and named (or can be deduced),Themes,3-4 Main Elements,Description,Additional Notes,Further Research Required?,Required Research Notes
7/28/2013 10:34:18,JH,Long Beach,9,6,380,"The Adloff and Hauerwaas Block, Long Beach",Dougherty,L.A. Eng. Co.,photograph,,not rotate,3; 4; ,n/a,n/a,n/a,Adloff and Hauerwaas Block; Long Beach;,n/a,n/a,n/a,building; ,n/a,Location profile; Economics--business;,Long Beach; Location profile; Economics--business;,This photograph depicts the Adloff and Hauerwaas Block of Long Beach. ,n/a,No,
7/28/2013 10:36:35,JH,Long Beach,9,6,380,The Henderson Building,Dougherty,L.A. Eng. Co.,photograph,,not rotate,5; 6; ,n/a,n/a,Wm. Schilling & Co.,Long Beach; The Henderson Building;,n/a,n/a,n/a,Henderson Building;,n/a,Economics--business; Location profile; Arts--architecture;,Henderson Building; Long Beach; Economics--business; Location profile,A significant number of individuals are pictured standing on the balcony and in front of the Henderson Building in Long Beach. The building houses Wm. Schilling & Co.,n/a,No,
7/29/2013 9:59:31,MB,Freestanding,9,6,317,"Battery D, California Heavy Artillery, in heavy marching order.",N/A (illegible: need to consult print copy),L. A. Eng. Co.,Photograph,?,Rotate,1; 2; 3; 4; 5; 6,soldiers; Californians,N/A,Battery D [California Heavy Artillery]; California Heavy Artillery,California,marching,N/A,N/A,military uniforms,N/A,Foreign policy--war,soldiers; marching; Battery D [California Heavy Artillery]; Foreign policy--war,A photograph of a group of Battery D soldiers from the California Heavy Artillery marching.,N/A,Yes,The photographer needs to be determined from a print copy of this photograph.
7/29/2013 10:03:04,MB,Freestanding,9,6,318,"Battery D, California Heavy Artillery.","N/A (illegible in scan, but on the image)",L. A. Eng. Co.,Photograph,?,Rotate,1; 2; 3; 4; 5; 6,soldiers,N/A,Battery D [California Heavy Artillery]; California Heavy Artillery,California,sitting; standing; posing,N/A,N/A,military uniforms,N/A,Foreign policy--war,soldiers; posing; Battery D [California Heavy Artillery]; Foreign policy--war,A posed group photograph of Battery D of the California Heavy Artillery.,N/A,Yes,The print copy of this image should be consulted to determine the author/photographer.
7/29/2013 10:07:12,MB,Freestanding,9,6,319,Return of 7th Regiment to Los Angeles.,N/A,N/A,Photograph,?,Not rotate,1; 2; 3; 4; 5; 6,soldiers; women; crowds,N/A,7th Regiment,Los Angeles,marching; standing; waiting; parading,N/A,N/A,military uniforms; dresses; streets,N/A,Foreign policy--war; Gender,7th Regiment; Los Angeles; Foreign policy--war; parading,"A triptych photograph depicting the return of the 7th Regiment to Los Angeles.  The first image shows the regiment marching, the second shows women watching and waiting, and the third is a wide-angle shot of a street in Los Angeles with the soldiers marching down the middle and crowds gathered on either side.",N/A,No,N/A
7/29/2013 10:24:18,MB,Worthy of Its Popularity,9,6,310,Between Los Angeles and Santa Monica.,Photo. by Hammond,American Eng. Co.,Photograph,?,Not rotate,1; 2,N/A,N/A,Los Angeles Pacific Railway,Los Angeles; Santa Monica,railroading; traveling,N/A,N/A,railroad; interurbans; tracks; telegraph pole,N/A,Transportation,Los Angeles Pacific Railway; railroad; Los Angeles; Santa Monica,A photograph of two Los Angeles Pacific Railway interurbans traveling on the line between Los Angeles and Santa Monica.  A telegraph pole is visible in the photograph.,N/A,No,N/A
7/29/2013 10:29:52,MB,Worthy of Its Popularity,9,6,320,Along the Cahuenga Foothills.,Photo. by Pieres [sp?],L. A. Eng. Co.,Photograph,?,Not rotate,3; 4; 5; 6,N/A,N/A,N/A,Cahuenga foothills,N/A,trees; shrubs,N/A,houses,foothills,Location profile; Expansionism--settlement,Cahuenga foothills; houses; Expansionism--settlement,"A photograph of houses, along with trees and shrubs, in the Cahuenga foothills region.  Though the Los Angeles Pacific Railway is not itself pictured in this photograph, the connection is that the region depicted is now connected to Los Angeles thanks to the new, 70-mile line that the railway has constructed in Southern California.",N/A,Yes,"The spelling of the name of the author (which appears to be ""Pieres"") should be checked, probably against the print copy of this image."
7/29/2013 14:21:59,AW,A Hudred Years,7,5,190,A Roof that Needs Care,n/a,C.M. Davis Eng. Co. ,photograph,,not rotated,5; 6,n/a,n/a,n/a,San Fernando,n/a,grasses,old building,old building,,Preservation-structural; Historicizing; Failure; Aesthetics,roof; repair; Failure; Aesthetics,The image shows a straight on photograph of an old building located in San Fernando with a caved-in roof. The title of the image explains that it is a building deserving and in need of repair.,The image is placed directly next to an image of the repaired San Fernando Mission on the next page. ,No,
7/29/2013 14:31:47,AW,A Hundred Years,7,5,191,"The Centennial of San Fernando. Compare this with p.152, September number. Two months ago the half-acre roof was in ruins. Now as the photograph shows, it is perfectly repaired. ",n/a,L. A. Eng. Co. ,photograph,,rotated,1; 3; 5,men; women; white; aboriginal; horseback riders; wealthy,n/a,Landmarks Club,San Fernando Mission,posing; celebrating,horses; grasses,n/a,horses; carriage; San Fernando Mission; ,n/a,Historicizing; Success; Aesthetics; Leisure; Preservation-Structural; US Regionalism-West,Historicizing; San Fernando Mission; Success; Leisure,"The image shows a large crowd of people, carriages and horses posed in front of the recently repaired San Fernando Mission. ",The image is placed directly next to an image of an old building in need of repair on the previous page. ,No,
7/29/2013 16:11:27,AW,Our Summer Isles,7,5,192,The Osprey and Her Nest,Fred Wilder,C.M. Davis Eng. Co.,photograph,,not rotated,3; 4; 5; 6,n/a,n/a,n/a,California,flying,osprey,n/a,n/a,ocean; osprey's nest; rock,Nature-Wilderness; Aesthetics; Maritime culture ,osprey; ocean; Nature-wilderness; Aesthetics,The image captures an osprey in flight toward a nest situated on the top of a rock formation in the middle of the ocean.,,No,
7/29/2013 16:18:45,AW, Our Summer Isles,7,5,193,On San Clemente,Fred Wilder,C. M. Davis Eng. Co. ,photograph; montage,,not rotated,1; 3; 4; 5,n/a,n/a,n/a,San Clemente,expedition,rock; brush; hills,n/a,n/a,rockiness,Nature-wilderness; Danger; Location Profile; Aesthetics ,San Clemente; Nature-wilderness; Aesthetics,"Two images of rocky terrain are connected diagonally showing different distances on San Clemente Island. The image on the bottom left shows a rocky peak. and the one on the top right, an image from the point of view of the photographer. ",,No,
7/29/2013 16:26:48,AW,Our Summer Isles,7,5,194,Excavating in the Caves ,Fred Wilder,C. M. Davis Eng. Co. ,photograph,,not rotated,3; 4; 5; 6,man; white; excavator,n/a,n/a,San Nichol�s [California],excavation; exploration,n/a,tools,n/a,cave,Historicizing; Aesthetics; Expedition-scientific; Expertise-credentialed; Preservation; Temporality-comparative temporalities ,excavation; Historicizing; Preservation,The image shows a white man excavating inside of a well-lit cave. ,,No,
7/29/2013 16:31:29,AW,Our Summer Isles,7,5,195,Tidal Erosion. ,Fred Wilder,C. M. Davis Eng. Co. ,photograph,,not rotated,1; 2; 3; 4,n/a,n/a,n/a,California,n/a,n/a,n/a,n/a,erosion; rock; ocean,Nature-wilderness; Aesthetics; Danger,Aesthetics; erosion; Nature-wilderness,"The image shows a picture of erosion on one of the California isles. Pictured is a point of view looking into the chasm between two tall, large rock formations. ",,No,
7/29/2013 16:02:25,MB,Freestanding,14,1,2,The New Tower Arch at Stanford University.,Photo. by C. F. L.,N/A,Photograph,?,Not rotate,1; 2; 3; 4; 5; 6,N/A,N/A,Stanford University,Stanford University,construction,N/A,N/A,tower arch,N/A,Education--higher education; Economics--development,Stanford University; tower arch; Education--higher education; Economics--development,A photograph of a new tower arch at Stanford University.,N/A,No,N/A
7/29/2013 17:44:35,MB,The California Classic,14,1,4,"H. H.
Helen Hunt Jackson.",N/A,N/A,Photograph,?,Not rotate,3; 5,American; writer; woman,Helen Hunt Jackson,N/A,N/A,posing; sitting,N/A,N/A,dress,N/A,Arts--literature; Gender--femininity,Helen Hunt Jackson; dress; posing,"A portrait photograph of Helen Hunt Jackson (the author of ""Ramona"") sitting and posing while wearing a dress.",N/A,No,N/A
7/29/2013 17:51:22,MB,The California Classic,14,1,5,"Mr. Sandham's ""Ramona.""","Sandham
Copyright, 1900, by Little, Brown & Co.",N/A,Drawing,?,Not rotate,2; 4,Native Americans; women,Ramona [fictional character],N/A,N/A,N/A,N/A,N/A,shawl,N/A,Peoples--Indigenous; Gender--Femininity,Ramona; shawl; Peoples--Indigenous; Gender--Femininity,"A drawing of the fictional character Ramona from the novel ""Ramona"".",N/A,No,N/A
7/29/2013 17:58:20,MB,The California Classic,14,1,7,Ramona's meeting with Father Salvierderra in the mustard-field.,"Sandham
From the Monterey ""Ramona""
Copyright, 1900, by Little, Brown & Co.",N/A,Drawing,?,Not rotate,1; 2; 3; 4,Native American; woman; Hispanic; man; priest,Ramona [fictional character]; Father Salvierderra [fictional character],N/A,mustard-field,meeting,mustard,N/A,dress; habit; walking stick,field,People--Indigenous; People--Hispanic; Gender--femininity; Gender--masculinity; Religion--Christianity,Ramona [fictional character]; Father Salvierderra [fictional character]; meeting; mustard-field,"A drawing of the fictional characters Ramona and Father Salvierderra meeting with each other in a mustard-field (from the novel ""Ramona"").",N/A,No,N/A
7/29/2013 18:05:20,MB,The California Classic,14,1,8,"""Eves of the Sky!"" exclaimed Ysidro.","Sandham
From the Monterey ""Ramona""
Copyright, 1900, by Little, Brown & Co.",N/A,Drawing,?,Not rotate,1; 2; 3; 4,women; men; infants,Ysidro [fictional character],N/A,N/A,looking; holding; exclaiming,N/A,N/A,crib; dress; clothing,N/A,Childrearing; Age--childhood; Gender--femininity; Gender--masculinity,Ysidro [fictional character]; infant; Childrearing,"A drawing of Ysidro and other fictional characters admiring a newborn infant (from the novel ""Ramona"").",N/A,No,N/A
7/29/2013 18:09:35,MB,The California Classic,14,1,9,Alessandro singing to Felipe.,"Sandham
Copyright, 1900, by Little, Brown & Co.",N/A,Drawing,?,Not rotate,1; 2; 3; 4,Native Americans; men,Alessandro [fictional character]; Felipe [fictional character],N/A,N/A,singing; sitting,N/A,N/A,violin; clothing,N/A,People--Indigenous; Gender--masculinity; Arts--performing,Alessandro [fictional character]; Felipe [fictional character]; singing,"A drawing of the fictional character Alessandro singing to Felipe while holding a violin (from the novel ""Ramona"").",N/A,No,N/A
7/29/2013 18:12:29,MB,The California Classic,14,1,10,The Pala Campanile.,N/A,N/A,Drawing,?,Not rotate,5; 6,N/A,N/A,N/A,Pala,N/A,N/A,N/A,campanile (Italian | bell tower),mountains; clouds,Arts--architecture; Religion--Christianity,Pala; Campanile; Arts--architecture; Religion--Christianity,"A drawing of the Campanile in Pala (from the novel ""Ramona"").",N/A,No,N/A
7/30/2013 20:15:01,RM,Our Valley Quail,7,5,203,Hunting the California Quail.,Drawn by the author [T.S. Van Dyke],C.M. Davis Eng. Co.,drawing,,not rotate,3; 4,hunters; sports; sportsmen,n/a,n/a,California,hunting,quail,n/a,n/a,n/a,Nature--wilderness; leisure,quail; hunting; leisure; nature--wilderness,"A drawing of a hunter in the distance and, in the foreground, his target: the California valley quail.",,No,
7/31/2013 13:15:06,MB,The Surprise Springs Meteorite,14,1,12,"The Surprise Springs Meteorite.
Full size.  Cut and etched, showing ""Widmannstatten Figures.""",Photo. by Thompson,N/A,Photograph,?,Rotate,1; 2; 3; 4; 5; 6,N/A,Widmannstatten,N/A,Surprise Springs,cutting; etching,N/A,meteorite,Widmannstatten Figures,meteorite; springs,Nature,meteorite; Surprise Springs; Widmannstatten Figures; Nature,"A photograph of the Surprise Springs meteorite, cut and etched and showing ""Widmannstatten Figures"".",N/A,No,N/A
7/31/2013 13:59:41,AW,Our Valley Quail,7,5,203,Hunting the California Quail.,T. S. Van Dyke,C. M. Davis. Eng. Co. ,drawing ,,not rotated,3; 4,hunter; sportsmen,n/a,n/a,California,hunting; shooting,trees; brush; California quail ,California quail,n/a,hills,Nature-Exploitation; Aesthetics; Happiness; Leisure; Tranquility; Solitude,California quail; Aesthetics; Leisure; hunting ,"The image shows a small human figure in the background with a gun looking upon a lush hill covered in birds, described as the California quail. ",,No,
7/31/2013 14:29:29,MB,The Surprise Springs Meteorite,14,1,14,"Meteorites found at Canyon Diablo, Ariz.",N/A,N/A,Photograph,?,Not rotate,1; 2; 3; 4,N/A,N/A,N/A,"Canyon Diablo, Ariz.",N/A,N/A,meteorites,N/A,meteorites; canyon,Nature,"meteorites; Canyon Dialo, Ariz.; Nature","A photograph of four meteorites that were found at Canyon Diablo, Arizona.",N/A,No,N/A
7/31/2013 14:31:08,MB,The Surprise Springs Meteorite,14,1,14,Meteorite from Canyon Diablo.,N/A,N/A,Photograph,?,Not rotate,3; 4; 5; 6,N/A,N/A,N/A,Canyon Diablo,N/A,N/A,meteorite,N/A,meteorite; canyon,Nature,meteorite; Canyon Diablo; Nature,A photograph of a Meteorite found at Canyon Diablo.,N/A,No,N/A
7/31/2013 14:34:15,MB,Lo's Turkish Bath,14,1,13,N/A,N/A,N/A,Drawing,?,Not rotate,3,Piute,N/A,N/A,N/A,N/A,N/A,hat,hat,N/A,Peoples--Indigenous; Gender--masculinity,Piute; hat; Peoples--Indigenous; Gender--masculinity,"A drawing of what appears to be a Piute man wearing a hat.  Used without a caption (or any text at all) at the start of the ""Lo's Turkish Bath"" article.",N/A,No,N/A
7/31/2013 14:36:32,MB,Lo's Turkish Bath,14,1,15,Old Camp McGary.,N/A,N/A,Photograph,?,Rotate,1; 3; 5,soldiers,N/A,United States Army,Camp McGary,N/A,trees; shrubs,N/A,camp [military]; buildings,N/A,Expansion--imperialism; Foreign policy--war,Camp McGary; Expansion--imperialism; Foreign policy--war,A photograph of Camp McGary.,N/A,No,N/A
7/31/2013 14:38:45,MB,Lo's Turkish Bath,14,1,17,"A Piute ""Sweat-House.""",N/A,N/A,Photograph,?,Not rotate,3; 4,Piute,N/A,N/A,N/A,bathing,trees; shrubs,N/A,sweat-house,N/A,Peoples--Indigenous; Standard of living,Piute; sweat-house; Peoples--Indigenous; Standard of living,"A photograph of a Piute ""sweat-house"".",N/A,No,N/A
7/31/2013 14:42:24,MB,Lo's Turkish Bath,14,1,18,A Piute Family.,N/A,N/A,Photograph,?,Not rotate,1; 2; 3; 4,Piute; family; man; woman; boy; girl,N/A,N/A,N/A,standing; posing,N/A,N/A,building; clothing,N/A,Peoples--Indigenous; Gender--Masculinity; Gender--Femininity; Childrearing,Piute; family; Gender; Childrearing,"A posed group photograph of a Piute family, evidently with a husband, a wife, and their two children (a boy and a girl).",N/A,No,N/A
7/31/2013 17:23:27,AW,The Land We Love and Hints of Why,7,5,211,Out-Doors All the Year,C. B. Messinger,C. M. Davis Eng. Co.,photograph,,not rotated,1; 2; 3; 4,children; girls,n/a,n/a,n/a,horseback riding,donkey; miniature horse; trees,saddle; miniature horse; donkey,n/a,sunny; lush,Aesthetics; Nature; Age-Childhood; Class- Wealthy; Leisure; Happiness; Gender-Femininity,Age-Childhood; Leisure; Nature,"The image shows two young female children on the back of what appears to be a miniature white horse. The background is calm, sunny and lush with trees. ",,No,
7/31/2013 17:29:06,AW,The Land We Love and Hints of Why,7,5,211,Pineapples in the Cauhenga,n/a,L. A. Eng. Co. ,photograph,,not rotated,3; 4; 5; 6,man; working class,n/a,n/a,Cauhenga,farming,pineapple,pineapple,n/a,sunny,Cultivation-Agriculture; Aesthetics; Class-Working Class; Food and Drink; Gender-masculinity; Labor; US Regionalism,Cultivation-Agriculture; Pineapple; Class-Working Class,The image shows a man standing behind a patch o growing pineapples. ,,No,
8/1/2013 15:38:38,RM,freestanding,7,5,211,"Out-doors All the Year [Under the page heading ""The Land We Love (and Hints of Why)""]",C.B. Messinger,C.M. Davis Eng. Col.,photograph,,not rotate,1; 2; 3; 4,women; girls,n/a,n/a,California,riding a mule,mule; donkey; horse; tree; grass,n/a,mule; donkey; horse,field,Leisure; Tourism; Nature,mule; leisure; tourism; nature,"A photograph of two women posing while riding an animal, probably a mule or donkey, with a second donkey in the foreground.",,No,
8/1/2013 15:45:04,RM,freestanding,7,5,211,"Pineapples in the Cauhenga [on a page titled ""The Land We Love (and Hints of Why)""]",n/a,L.A. Eng. Co.,photograph,,not rotate,5; 6,farmers,n/a,n/a,Cahuenga; California,farming; agriculture,pineapples,n/a,field; garden,n/a,nature; cultivation--agriculture,nature; cultivation--agriculture; pineapple; cahuenga,A photograph of a man posing in a bed of pineapple plants. ,,No,
8/1/2013 18:21:21,MB,The California Thrasher,14,1,21,The California Thrasher.,N/A,N/A,Photograph,?,Not rotate,3; 4,N/A,N/A,N/A,California,holding,California Thrasher,N/A,N/A,N/A,Nature,California Thrasher; Nature; holding,"A photograph of an unidentified person holding a California Thrasher on his or her hand, simulating a perch.",N/A,No,N/A
8/1/2013 19:38:17,MB,An Undesirable Immigrant,14,1,23,"""Meat for the Mongoose.""",N/A,N/A,Photograph,?,Not rotate,3; 4,farm worker,N/A,N/A,Jamaica,chicken feeding,chickens,N/A,hut,palm trees,Cultivation--agriculture,chickens; Jamaica; Cultivation--agriculture,A photograph of a farm worker feeding chickens in Jamaica.,N/A,No,N/A
8/1/2013 19:41:47,MB,An Undesirable Immigrant,14,1,25,A Scene in Jamaica.,N/A,N/A,Photograph,?,Not rotate,3; 4,N/A,N/A,N/A,Jamaica,N/A,palm trees,N/A,ship,beach; trees; ocean,Location profile; Nature,Jamaica; Location profile; Nature,"A photograph of a scene in Jamaica, with trees and a beach visible in the foreground and a ship sailing on the ocean in the background.",N/A,No,N/A
8/4/2013 11:19:10,JH,freestanding,14,1,n/a,The New Tower Arch at Stanford University,C. F. L. ,n/a,photograph,,not rotate,1; 2; 3; 4; 5; 6; ,n/a,n/a,Stanford University,Stanford University,construction;,n/a,bricks; wood;,New Tower Arch;,n/a,Arts--Architecture; Economics--development; Education--Higher Education; ,Stanford University; Arts--Architecture; Economics--development; Education--Higher Education; ,"This picture depicts the New Tower Arch at Stanford University. The arch appears to be under construction, as loose boards and bricks are included in the photograph, and no landscaping surrounds the arch.",n/a,No,
8/4/2013 11:21:57,JH,The California Classic,14,1,4,H.H. Helen Hunt Jackson,n/a,n/a,photograph,,not rotate,3; 5;,woman; European American; writer;,H.H. Helen Hunt Jackson;,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Gender--femininity; Class; Peoples--European Americans; Arts--literature; ,Helen Hunt Jackson; Peoples--European Americans; Arts--literature; ,This photograph is a portrait of Helen Hunt Jackson. Jackson posed for this portrait in a studio.,n/a,No,
8/4/2013 11:25:21,JH,The California Classic,14,1,5,"Mr. Sandham's ""Ramona""","Little, Brown & Co.",n/a,drawing,,not rotate,2; 4;,Native American; woman;,Ramona; Mr. Sandham;,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Aesthetics; Gender--femininity; Peoples--indigenous; Arts--literature; Race & Ethnicity;,Ramona;  Peoples--indigenous; Arts--literature; Race & Ethnicity;,"This image is an artist's rendering of Ramona, the protagonist from Helen Hunt Jackson's novel of the same name.",n/a,No,
8/4/2013 13:17:31,JH,The California Classic,14,1,7,Ramona's Meeting with Father Salvierderra in the Mustard-Field,"Little, Brown & Co.",n/a,drawing,,not rotate,1; 2; 3; 4; 5; 6;,man; woman; priest; indigenous people; Spanish;,Ramon; Father Salvierderra;,n/a,n/a,n/a,mustard; ,n/a,mustard-field;,n/a,Religion--Christianity; Arts--literature; Peoples--indigenous; Peoples--Hispanic;,Ramona; Religion--Christianity; Arts--literature; ,This image is an artist's rendering of Ramona and Father Salvierderra from Helen Hunt Jackson's novel Ramona. The two characters are depicted in a mustard-field.,n/a,No,
8/4/2013 13:21:42,JH,The California Classic,14,1,8,"""Eyes of the Sky!"" Exclaimed Ysidro","Little, Brown & Co.",n/a,drawing,,not rotate,1; 2; 3; 4; 5; 6;,man; woman; indigenous people; baby;,Ysidro;,n/a,n/a,n/a,n/a,n/a,crib,n/a,Peoples--indigenous; Arts--literature; childrearing;,Ramona; Peoples--indigenous; Arts--literature; childrearing;,"This photograph depicts characters from Helen Hunt Jackson's novel, Ramona.",n/a,No,
8/4/2013 13:28:52,JH,The California Classic,14,1,9,Alessandro Singing to Felipe,"Little, Brown & Co.",n/a,drawing,,not rotate,1; 2; 3; 4; 5; 6;,man; woman;,Alessandro; Felipe;,n/a,n/a,singing;,n/a,violin;,bed; bedroom; chair;,n/a,Arts--literature; ,Arts--literature;,"This picture depicts a scene from Helen Hunt Jackson's novel, Ramona. In this scene, Alessandro sings to Felipe.",n/a,No,
8/4/2013 13:33:04,JH,The California Classic,14,1,10,The Pala Campanile,n/a,n/a,drawing,,not rotate,5; 6;,n/a,n/a,n/a,Pala;,n/a,n/a,n/a,campanile; wall;,mountains; trees;,Arts--literature; Arts--architecture; ,Arts--literature; Arts--architecture; ,"This image depicts the campanile at Pala, mentioned in Helen Hunt Jackson's novel, Ramona.",n/a,No,
8/4/2013 13:36:54,JH,The Surprise Springs Meteorite,14,1,12,"The Surprise Springs Meteorite: Full size, Cut and etched, showing ""Widmannstatten Figures""",Thompson,n/a,photograph,,rotate,1; 2; 3; 4; 5; 6;,n/a,n/a,n/a,Surprise Springs;,n/a,n/a,n/a,n/a,meteorite;,Nature; ,Nature; meteorite; Surprise Springs;,"This image is a photograph of the Surprise Springs Meteorite. The meteorite is cut in half, revealing a cross-section. Both halves appear in the photograph.",n/a,No,
8/4/2013 13:39:03,JH,The Surprise Springs Meteorite,14,1,14,"Meteorites Found at Canon Diablo, Ariz.",n/a,n/a,photograph,,not rotate,1; 2; 3; 4; ,n/a,n/a,n/a,"Canon Diablo, Ariz.",n/a,n/a,n/a,n/a,meteorites,Nature; ,Nature; Meteorites; Arizona;,"This image is a photograph of meteorites found at Canon Diablo, Arizona.",n/a,No,
8/4/2013 13:40:54,JH,The Surprise Springs Meteorite,14,1,14,Meteorite from Canon Diablo,n/a,n/a,,,not rotate,3; 4; 5; 6;,n/a,n/a,n/a,Canon Diablo;,n/a,n/a,n/a,n/a,meteorite,Nature;,Nature; Arizona; Meteorite;,This image is a photograph of a meteorite found in Canon Diablo in Arizona.,n/a,No,
8/4/2013 13:43:24,JH,Lo's Turkish Bath,14,1,15,Old Camp McGary,n/a,n/a,photograph,,rotate,1; 3; 5;,n/a,n/a,n/a,Old Camp McGary;,n/a,grass;,na,Old Camp McGary;,grass;,Arts--architecture; US Regionalism;,Old Camp McGary; Arts--architecture; US Regionalism;,This photograph depicts Old Camp McGary in Nevada.,n/a,No,
8/4/2013 15:09:14,JH,Lo's Turkish Bath,14,1,17,"A Piute ""Sweat-House""",n/a,n/a,photograph,,not rotate,3; 4;,Piute;,n/a,n/a,Piute;,n/a,grass; trees; ,n/a,sweat-house;,grass; trees; rocks;,Peoples--indigenous;,Peoples--indigenous; Piute; sweat-house;,"This image is a photograph of a ""sweat-house,"" which the author of the related article states is a necessary component of a Piute hygiene ritual.",n/a,No,
8/4/2013 15:12:11,JH,Lo's Turkish Bath,14,1,18,A Piute Family,n/a,n/a,photograph,,not rotate,1; 2; 3; 4;,man; woman; boy; girl; Piute; Native American; ,n/a,Piute;,n/a,n/a,n/a,n//a,n/a,n/a,Peoples--indigenous; Kinship; Race and Ethnicity;,Piute; Peoples--indigenous; Kinship; Race and Ethnicity;,"This photograph depicts a Piute family of four: man, woman, boy, and girl. The family wears contemporary clothes and is posing in front of a built structure.",n/a,No,
8/4/2013 15:14:05,JH,The California Thrasher,14,1,21,The California Thrasher,n/a,n/a,photograph,,not rotate,3; 4; ,n/a,n/a,n/a,California,n/a,California Thrasher;,n/a,n/a,n/a,Nature; Leisure; ,Nature; Leisure; California Thrasher;,This photograph of the California Thrasher depicts the bird perched on a human hand. ,n/a,No,
8/4/2013 15:17:04,JH,An Undesirable Immigrant,14,1,23,"""Meat for the Mongoose""",n/a,n/a,photograph,,not rotate,3; 4;,man;,n/a,n/a,Jamaica;,n/a,chicken; mongoose; palm trees;,n/a,barn;,palm trees; ,Cultivation--animal husbandry; ,Mongoose; Cultivation--animal husbandry;,"This photograph depicts a man standing outdoors, near several chickens. Palm trees also appear in the photograph, surrounding a barn to the rear of the man.",n/a,No,
8/4/2013 15:19:19,JH,An Undesirable Immigrant,14,1,25,A Scene in Jamaica,n/a,n/a,photograph,,not rotate,3; 4; ,n/a,n/a,n/a,Jamaica;,n/a,palm trees;,flag; ,ship;,palm trees; beach;,Nature; Transportation; Aesthetics; ,Jamaica; Nature; Transportation; Aesthetics; ,"This photograph depicts a beach in Jamaica lined with palm trees. An unidentified flag appears on the beach, with a large ship in the ocean in the distance.",n/a,No,
8/4/2013 15:42:02,JH,In Western Letters,14,1,26,Constance Goddard Du Bois,C. F. L.,n/a,photograph,,not rotate,6;,European American; woman;,Constance Goddard Du Bois;,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Arts--literature; ,Constance Goddard Du Bois; Arts--literature;,This photograph is a profile portrait of Constance Goddard Du Bois.,n/a,No,
8/4/2013 15:45:47,JH,A Sage-Brush Oasis,14,1,29,In the Artemisia Bindery: The Sewing-Press,n/a,n/a,photograph,,not rotate,1; 2; 3; 4;,n/a,n/a,n/a,The Artemisia Bindery,n/a,n/a,n/a,tables; desks; chair;,n/a,Technology; Expertise;,Sewing-Press; Artemisia Bindery; Expertise;,"This photograph depicts the ""sewing-press"" of the Artemisia Bindery in Humboldt, Nevada.",n/a,No,
8/4/2013 15:49:15,JH,A Sage-Brush Oasis,14,1,29,In the Artemisia Bindery: The Lying-Press,n/a,n/a,photograph,,not rotate,3; 4; 5; 6;,n/a,n/a,Artemisia Bindery;,Artemisia Bindery;,n/a,n/a,books;,Dresser; shelves; ,n/a,Technology; Expertise,Technology; Expertise; Artemisia Bindery;,"This photograph depicts the ""lying-press"" of the Artemisia Bindery in Humboldt, Nevada.",n/a,No,
8/4/2013 15:52:43,JH,A Sage-Brush Oasis,14,1,31,The Binder,n/a,n/a,photograph,,not rotate,1; 2; 3; 4; 5; 6;,European American; woman;,Idah M. Strobridge;,n/a,n/a,n/a,n/a,hammer;,n/a,n/a,Peoples--European American; Expertise; Gender;,Peoples--European American; Expertise; Idah M. Strobridge; ,This photograph is a portrait of Idah M. Strobridge of Artemisia Bindery. Strobridge appears to be holding a hammer.,n/a,No,
8/5/2013 9:53:16,MB,In Western Letters,14,1,26,N/A,N/A,N/A,Photograph,?,Not rotate,3; 5,girl,N/A,N/A,N/A,chalkboard writing,N/A,chalk,chalk; chalkboard,N/A,Age--youth; Gender--femininity,girl; chalk; chalkboard,A nude young girl writing on a chalkboard.,N/A,No,N/A
8/5/2013 9:55:35,MB,In Western Letters,14,1,26,Constance Goddard Du Bois.,Photo. by C. F. L.,N/A,Photograph,?,Not rotate,6,women; authors,Constance Goddard Du Bois,N/A,N/A,posing,N/A,N/A,N/A,N/A,Arts--literature; Gender--femininity,Constance Goddard Du Bois; authors; Arts--literature; Gender--femininity,A portrait photograph of Constance Goddard Du Bois.,N/A,No,N/A
8/5/2013 9:57:10,MB,In Western Letters,14,1,27,Florence Finch Kelly.,N/A,N/A,Photograph,?,Not rotate,1,women; writers,Florence Finch Kelly,N/A,N/A,posing,N/A,N/A,N/A,N/A,Arts--literature; Gender--femininity,Florence Finch Kelly; writers; Arts--literature; Gender--femininity,A portrait photograph of Florence Finch Kelly.,N/A,No,N/A
8/5/2013 11:16:53,MB,A Sage-Brush Oasis,14,1,29,"The Sewing-Press.
In the Artemisia Bindery.
",N/A,N/A,,?,Not rotate,1; 2; 3; 4,N/A,N/A,Artemisia Bindery,N/A,book-binding,N/A,N/A,sewing-press,N/A,Arts; Labor,Artemesia Bindery; sewing-press; Arts; Labor,The sewing-press in the Artemisia Bindery.,N/A,No,N/A
